BEER	ABV	IBU	GRAVITY	COLOR	CATEGORY_ID	CATEGORY_NAME	STYLE_ID	STYLE_NAME
21st Amendment Brew Free or Die IPA	7	50	1.014	11	10	India Pale Ale	8	American IPA
21st Amendment Fireside Chat	7.9	25	1.016	17	36	Strong Ale	57	Winter Warmer
21st Amendment Hell or High Watermelon	4.9	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
21st Amendment Monk's Blood	8.3	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Abbaye des Rocs Brasserie des Rocs Ambree	9	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Abbaye des Rocs Brasserie des Rocs Blanche Double	6	15	1.01	3	26	Wheat Beer	38	Witbier
Abbaye des Rocs Brasserie des Rocs Blonde	7.5	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
Abbaye des Rocs Brasserie des Rocs Brune	9	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Abbaye des Rocs Brasserie des Rocs Grand Cru	9.5	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Abbaye des Rocs Brasserie des Rocs Triple Imperiale	10	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Abbaye du Val-Dieu Val-Dieu Blond	6	25	1.012	11	31	Pale Ale	23	Belgian Pale Ale
Abbaye du Val-Dieu Val-Dieu Brune	8	20	1.013	13	33	Dubbel	28	Dubbel
Abbaye du Val-Dieu Val-Dieu Grand Cru	10.5	28	1.017	17	34	Quad	35	Quadrupel (Quad)
Abbaye du Val-Dieu Val-Dieu Triple	9	30	1.011	6	9	Tripel	37	Tripel
Abita Abbey Ale	8	20	1.013	13	33	Dubbel	28	Dubbel
Abita Abita Light	4	10	1.001	3	20	Lager	80	Light Lager
Abita Amber	4.5	23	1.014	11	42	Marzen	95	Märzen / Oktoberfest
Abita Andygator	8	NULL	NULL	NULL	16	Bock Beer	NULL	NULL
Abita Christmas Ale	6.13	NULL	NULL	NULL	29	Amber	NULL	NULL
Abita Fall Fest	5.4	NULL	NULL	NULL	42	Marzen	NULL	NULL
Abita Jockamo IPA	6.5	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
Abita Mardi Gras Bock	6.5	NULL	NULL	NULL	16	Bock Beer	NULL	NULL
Abita Pecan Harvest	5	32	1.012	27	13	Brown Ale	4	American Brown Ale
Abita Purple Haze	4.2	NULL	NULL	NULL	44	Fruit/Vegetable	NULL	NULL
Abita Restoration Pale Ale	5	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
Abita Satsuma Harvest Wit	5.1	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
Abita SOS	7	35	1.01	4	12	Pilsner	90	German Pilsener
Abita Strawberry Harvest Lager	4.2	NULL	NULL	NULL	44	Fruit/Vegetable	NULL	NULL
Abita Turbodog	6.13	20	1.011	22	13	Brown Ale	43	English Brown Ale
Achel Trappist 5 Blonde	5	NULL	NULL	NULL	30	Blonde	NULL	NULL
Achel Trappist Bruin	8	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Achel Trappist Extra	9.5	NULL	NULL	NULL	34	Quad	NULL	NULL
Achouffe Chouffe Houblon Dobbelen IPA Tripel	9	55	1.014	11	10	India Pale Ale	22	Belgian IPA
Achouffe La Chouffe	8	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
Achouffe McChouffe	8	28	1.017	17	25	Scottish Style Ale	24	Belgian Strong Dark Ale
Achouffe N'Ice Chouffe	10	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Adnams Broadside	6.3	NULL	NULL	NULL	28	Bitter	NULL	NULL
Affligem Affligem Blonde	6.8	28	1.011	4	30	Blonde	25	Belgian Strong Pale Ale
Affligem Affligem Dubbel	7	20	1.013	13	33	Dubbel	28	Dubbel
Affligem Affligem Noel	9	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
Affligem Affligem Tripel	8.5	30	1.011	6	9	Tripel	37	Tripel
Alaskan Alaskan Amber	5	38	1.013	16	38	Old Ale	59	Altbier
Alaskan Alaskan Baltic Porter	9.9	30	1.02	23	23	Porter	39	Baltic Porter
