Anheuser-Busch Wild Blue Blueberry Lager	Adjunct Lager/Fruit Beer
Southampton Altbier	Alt
Victory Ten Years Alt	Altbier
Alaskan Alaskan Amber	Altbier
Otter Creek Copper Ale	Altbier
Long Trail Long Trail Ale	Altbier
Long Trail Double Bag	Altbier
Mission Amber Ale	Altbier
Widmer Brothers Okto	Altbier
Free State Ad Astra Ale	Altbier
Schell's Barrel Aged Schmaltz's Alt	Altbier
Schell's Schmaltz's Alt	Altbier
Tuckerman Headwall Alt	Altbier
Southern Tier Chautauqua Brew	Amber Ale
Otter Creek Wolaver's Pat Leavy's All-American Ale	Amber Ale
Ballast Point Calico Amber Ale	Amber Ale
Michelob Honey Lager	Amber Lager
Anheuser-Busch Budweiser	American Adjunct Lager
Coors Coors	American Adjunct Lager
Iron City Premium Lager	American Adjunct Lager
Leinenkugel's Original	American Adjunct Lager
Miller Miller Chill	American Adjunct Lager
Miller Miller Genuine Draft Light 64	American Adjunct Lager
Miller Miller High Life	American Adjunct Lager
Miller Miller Lite	American Adjunct Lager
Pabst Pabst Blue Ribbon	American Adjunct Lager
Pabst Pabst Blue Ribbon Light	American Adjunct Lager
Schlitz Schlitz	American Adjunct Lager
Anheuser-Busch InBev Bud Light	American Adjunct Lager
Anheuser-Busch InBev Bud Light Lime	American Adjunct Lager
Anheuser-Busch LandShark Lager	American Adjunct Lager
Anheuser-Busch Natural Light	American Adjunct Lager
Anheuser-Busch Rolling Rock	American Adjunct Lager
Anheuser-Busch Rolling Rock Light	American Adjunct Lager
Anheuser-Busch Rolling Rock Red	American Adjunct Lager
Coors Keystone Ice	American Adjunct Lager
Coors Keystone Light	American Adjunct Lager
Coors Coors Light	American Adjunct Lager
Dixie Dixie Beer	American Adjunct Lager
Miller Icehouse	American Adjunct Lager
Miller MGD	American Adjunct Lager
Miller Milwaukee's Best	American Adjunct Lager
Miller Milwaukee's Best Ice	American Adjunct Lager
Miller Milwaukee's Best Light	American Adjunct Lager
Pabst Old Milwaukee	American Adjunct Lager
Pabst Old Milwaukee Light	American Adjunct Lager
Pabst Stroh's	American Adjunct Lager
Grupo Modelo Corona Extra	American Adjunct Lager
FEMSA Dos Equis Special Lager	American Adjunct Lager
Nacional Dominicana Presidente	American Adjunct Lager
Desnoes and Geddes Red Stripe	American Adjunct Lager
FEMSA Sol	American Adjunct Lager
FEMSA Tecate	American Adjunct Lager
Asia Pacific Tiger Beer	American Adjunct Lager
Tsingtao Tsingtao	American Adjunct Lager
Molson Molson Canadian	American Adjunct Lager
